1,3,9,27,81,243,729
2,6,18,54,162,486,1458
3,9,27,81,243,729,2187
4,12,36,108,324,972,2916
5,15,45,135,405,1215,3645
6,18,54,162,486,1458,4374
7,21,63,189,567,1701,5103
8,24,72,216,648,1944,5832
9,27,81,243,729,2187,6561
10,30,90,270,810,2430,7290
11,33,99,297,891,2673,8019
12,36,108,324,972,2916,8748
13,39,117,351,1053,3159,9477
14,42,126,378,1134,3402,10206
15,45,135,405,1215,3645,10935
16,48,144,432,1296,3888,11664
17,51,153,459,1377,4131,12393
18,54,162,486,1458,4374,13122
19,57,171,513,1539,4617,13851
20,60,180,540,1620,4860,14580
21,63,189,567,1701,5103,15309
22,66,198,594,1782,5346,16038
23,69,207,621,1863,5589,16767
24,72,216,648,1944,5832,17496
25,75,225,675,2025,6075,18225
26,78,234,702,2106,6318,18954
27,81,243,729,2187,6561,19683
28,84,252,756,2268,6804,20412
29,87,261,783,2349,7047,21141
30,90,270,810,2430,7290,21870
31,93,279,837,2511,7533,22599
32,96,288,864,2592,7776,23328
33,99,297,891,2673,8019,24057
34,102,306,918,2754,8262,24786
35,105,315,945,2835,8505,25515
36,108,324,972,2916,8748,26244
37,111,333,999,2997,8991,26973
38,114,342,1026,3078,9234,27702
39,117,351,1053,3159,9477,28431
40,120,360,1080,3240,9720,29160
41,123,369,1107,3321,9963,29889
42,126,378,1134,3402,10206,30618
43,129,387,1161,3483,10449,31347
44,132,396,1188,3564,10692,32076
